1/2, -13/32
2/99, -206638906/9509900499
2/101, -223559226/10510100501
2/103, -241496858/11592740743
2/105, -260491738/12762815625
2/107, -280584570/14025517307
2/109, -301816826/15386239549
2/111, -324230746/16850581551
2/113, -347869338/18424351793
2/115, -372776378/20113571875
2/117, -398996410/21924480357
2/119, -426574746/23863536599
2/121, -455557466/25937424601
2/123, -485991418/28153056843
2/125, -517924218/30517578125
2/127, -551404250/33038369407
2/129, -586480666/35723051649
2/131, -623203386/38579489651
2/133, -661623098/41615795893
2/135, -701791258/44840334375
2/137, -743760090/48261724457
2/139, -787582586/51888844699
2/141, -833312506/55730836701
2/143, -881004378/59797108943
2/145, -930713498/64097340625
2/147, -982495930/68641485507
2/149, -1036408506/73439775749
3/4, -129/1024
3/5, -1002/3125
3/7, -7212/16807
3/8, -13845/32768
3/10, -37947/100000
3/11, -57144/161051
3/13, -114690/371293
3/14, -155199/537824
3/16, -265629/1048576
3/17, -338142/1419857
3/19, -524784/2476099
3/20, -641937/3200000
3/22, -932007/5153632
3/23, -1108380/6436343
3/25, -1532982/9765625
3/26, -1785099/11881376
3/28, -2379225/17210368
3/29, -2725554/20511149
3/31, -3528084/28629151
3/32, -3989037/33554432
3/34, -5042739/45435424
3/35, -5640672/52521875
3/37, -6992202/69343957
3/38, -7751415/79235168
3/40, -9451317/102400000
3/41, -10398054/115856201
3/43, -12500760/147008443
3/44, -13663209/164916224
3/46, -16227039/205962976
3/47, -17635332/229345007
3/49, -20722494/282475249
3/50, -22408707/312500000
3/52, -26085297/380204032
3/53, -28083450/418195493
3/55, -32419452/503284375
3/56, -34765509/550731776
3/58, -39834795/656356768
3/59, -42566664/714924299
3/61, -48446994/844596301
3/62, -51604527/916132832
3/64, -58377549/1073741824
3/65, -62002542/1160290625
3/67, -69753792/1350125107
3/68, -73889985/1453933568
3/70, -82708887/1680700000
3/71, -87401964/1804229351
3/73, -97381830/2073071593
3/74, -102679419/2219006624
3/76, -113917449/2535525376
3/77, -119869122/2706784157
3/79, -132466404/3077056399
3/80, -139123677/3276800000
3/82, -153185187/3707398432
3/83, -160601520/3939040643
3/85, -176236122/4437053125
3/86, -184466919/4704270176
3/88, -201787365/5277319168
3/89, -210889974/5584059449
3/91, -230012904/6240321451
3/92, -240046617/6590815232
3/94, -261092559/7339040224
3/95, -272118612/7737809375
3/97, -295211982/8587340257
3/98, -307293555/9039207968
3/100, -332562657/10000000000
3/101, -345764874/10510100501
3/103, -373341900/11592740743
3/104, -387731829/12166529024
3/106, -417752859/13382255776
3/107, -433399512/14025517307
3/109, -466004514/15386239549
3/110, -482978847/16105100000
3/112, -518311677/17623416832
3/113, -536686590/18424351793
3/115, -574894992/20113571875
3/116, -594745329/21003416576
3/118, -635980935/22877577568
3/119, -657383484/23863536599
3/121, -701801814/25937424601
3/122, -724835307/27027081632
3/124, -772595769/29316250624
3/125, -797340882/30517578125
3/127, -848606772/33038369407
3/128, -875146125/34359738368
3/130, -930084627/37129300000
3/131, -958502784/38579489651
3/133, -1017284970/41615795893
3/134, -1047668439/43204003424
3/136, -1110469269/46525874176
3/137, -1142906502/48261724457
3/139, -1209904824/51888844699
3/140, -1244486217/53782400000
3/142, -1315864767/57735339232
3/143, -1352682660/59797108943
3/145, -1428628062/64097340625
3/146, -1467776739/66338290976
3/148, -1548479505/71008211968
3/149, -1590055194/73439775749
4/5, -196/3125
4/7, -5892/16807
4/9, -25220/59049
4/11, -67396/161051
4/13, -143172/371293
4/15, -264836/759375
4/17, -446212/1419857
4/19, -702660/2476099
4/21, -1051076/4084101
4/23, -1509892/6436343
4/25, -2099076/9765625
4/27, -2840132/14348907
4/29, -3756100/20511149
4/31, -4871556/28629151
4/33, -6212612/39135393
4/35, -7806916/52521875
4/37, -9683652/69343957
4/39, -11873540/90224199
4/41, -14408836/115856201
4/43, -17323332/147008443
4/45, -20652356/184528125
4/47, -24432772/229345007
4/49, -28702980/282475249
4/51, -33502916/345025251
4/53, -38874052/418195493
4/55, -44859396/503284375
4/57, -51503492/601692057
4/59, -58852420/714924299
4/61, -66953796/844596301
4/63, -75856772/992436543
4/65, -85612036/1160290625
4/67, -96271812/1350125107
4/69, -107889860/1564031349
4/71, -120521476/1804229351
4/73, -134223492/2073071593
4/75, -149054276/2373046875
4/77, -165073732/2706784157
4/79, -182343300/3077056399
4/81, -200925956/3486784401
4/83, -220886212/3939040643
4/85, -242290116/4437053125
4/87, -265205252/4984209207
4/89, -289700740/5584059449
4/91, -315847236/6240321451
4/93, -343716932/6956883693
4/95, -373383556/7737809375
4/97, -404922372/8587340257
4/99, -438410180/9509900499
4/101, -473925316/10510100501
4/103, -511547652/11592740743
4/105, -551358596/12762815625
4/107, -593441092/14025517307
4/109, -637879620/15386239549
4/111, -684760196/16850581551
4/113, -734170372/18424351793
4/115, -786199236/20113571875
4/117, -840937412/21924480357
4/119, -898477060/23863536599
4/121, -958911876/25937424601
4/123, -1022337092/28153056843
4/125, -1088849476/30517578125
4/127, -1158547332/33038369407
4/129, -1231530500/35723051649
4/131, -1307900356/38579489651
4/133, -1387759812/41615795893
4/135, -1471213316/44840334375
4/137, -1558366852/48261724457
4/139, -1649327940/51888844699
4/141, -1744205636/55730836701
4/143, -1843110532/59797108943
4/145, -1946154756/64097340625
4/147, -2053451972/68641485507
4/149, -2165117380/73439775749
5/6, -205/7776
5/7, -2930/16807
5/8, -9555/32768
5/9, -21580/59049
5/11, -68430/161051
5/12, -106855/248832
5/13, -157880/371293
5/14, -223605/537824
5/16, -408155/1048576
5/17, -531780/1419857
5/18, -679705/1889568
5/19, -854630/2476099
5/21, -1296880/4084101
5/22, -1570205/5153632
5/23, -1882530/6436343
5/24, -2237155/7962624
5/26, -3087105/11881376
5/27, -3589630/14348907
5/28, -4148855/17210368
5/29, -4768680/20511149
5/31, -6206330/28629151
5/32, -7032555/33554432
5/33, -7936180/39135393
5/34, -8921705/45435424
5/36, -11157055/60466176
5/37, -12416480/69343957
5/38, -13777005/79235168
5/39, -15243730/90224199
5/41, -18516780/115856201
5/42, -20333905/130691232
5/43, -22278830/147008443
5/44, -24357255/164916224
5/46, -28938005/205962976
5/47, -31452330/229345007
5/48, -34124155/254803968
5/49, -36959780/282475249
5/51, -43148230/345025251
5/52, -46514255/380204032
5/53, -50070480/418195493
5/54, -53823805/459165024
5/56, -61949955/550731776
5/57, -66337180/601692057
5/58, -70950305/656356768
5/59, -75796830/714924299
5/61, -86220680/844596301
5/62, -91813605/916132832
5/63, -97671130/992436543
5/64, -103801355/1073741824
5/66, -116912905/1252332576
5/67, -123911030/1350125107
5/68, -131215455/1453933568
5/69, -138834880/1564031349
5/71, -155054130/1804229351
5/72, -163671955/1934917632
5/73, -172640780/2073071593
5/74, -181969905/2219006624
5/76, -201746855/2535525376
5/77, -212213880/2706784157
5/78, -223079605/2887174368
5/79, -234353930/3077056399
5/81, -258168580/3486784401
5/82, -270729305/3707398432
5/83, -283739430/3939040643
5/84, -297209455/4182119424
5/86, -325571805/4704270176
5/87, -340485730/4984209207
5/88, -355902755/5277319168
5/89, -371833980/5584059449
5/91, -405284030/6240321451
5/92, -422825655/6590815232
5/93, -440927080/6956883693
5/94, -459600005/7339040224
5/96, -498707755/8153726976
5/97, -519166580/8587340257
5/98, -540244905/9039207968
5/99, -561955030/9509900499
5/101, -607320480/10510100501
5/102, -631001005/11040808032
5/103, -655363730/11592740743
5/104, -680421555/12166529024
5/106, -732674705/13382255776
5/107, -759896430/14025517307
5/108, -787866055/14693280768
5/109, -816597080/15386239549
5/111, -876397930/16850581551
5/112, -907495355/17623416832
5/113, -939409380/18424351793
5/114, -972154105/19254145824
5/116, -1040192655/21003416576
5/117, -1075515280/21924480357
5/118, -1111726205/22877577568
5/119, -1148840130/23863536599
5/121, -1225836380/25937424601
5/122, -1265748705/27027081632
5/123, -1306624030/28153056843
5/124, -1348477655/29316250624
5/126, -1435181605/31757969376
5/127, -1480063130/33038369407
5/128, -1525985355/34359738368
5/129, -1572964180/35723051649
5/131, -1670155830/38579489651
5/132, -1720401055/40074642432
5/133, -1771767680/41615795893
5/134, -1824272205/43204003424
5/136, -1932761555/46525874176
5/137, -1988779980/48261724457
5/138, -2046003505/50049003168
5/139, -2104449230/51888844699
5/141, -2225076280/55730836701
5/142, -2287292405/57735339232
5/143, -2350800330/59797108943
5/144, -2415617755/61917364224
5/146, -2549252505/66338290976
5/147, -2618105830/68641485507
5/148, -2688340655/71008211968
5/149, -2759975280/73439775749
6/7, -78/16807
6/11, -60270/161051
6/13, -157038/371293
6/17, -587598/1419857
6/19, -969774/2476099
6/23, -2206158/6436343
6/25, -3122574/9765625
6/29, -5724654/20511149
6/31, -7486350/28629151
6/35, -12138414/52521875
6/37, -15118638/69343957
6/41, -22629390/115856201
6/43, -27263598/147008443
6/47, -38566158/229345007
6/49, -45352014/282475249
6/53, -61503918/418195493
6/55, -71001294/503284375
6/59, -93184494/714924299
6/61, -106015470/844596301
6/65, -135536334/1160290625
6/67, -152385198/1350125107
6/71, -190674510/1804229351
6/73, -212287758/2073071593
6/77, -260900718/2706784157
6/79, -288087054/3077056399
6/83, -348703278/3939040643
6/85, -382333614/4437053125
6/89, -456757134/5584059449
6/91, -497764590/6240321451
6/95, -587923854/7737809375
6/97, -637303758/8587340257
6/101, -745251630/10510100501
6/103, -804061518/11592740743
6/107, -931975278/14025517307
6/109, -1001334894/15386239549
6/113, -1151516238/18424351793
6/115, -1232607534/20113571875
6/119, -1407482574/23863536599
6/121, -1501549710/25937424601
6/125, -1703668974/30517578125
6/127, -1812018318/33038369407
6/131, -2044056750/38579489651
6/133, -2168056878/41615795893
6/137, -2432813838/48261724457
6/139, -2573895534/51888844699
6/143, -2874294798/59797108943
6/145, -3033951054/64097340625
6/149, -3373040814/73439775749
7/8, 287/32768
7/9, -5306/59049
7/10, -19383/100000
7/11, -44716/161051
7/12, -84245/248832
7/13, -141078/371293
7/15, -319928/759375
7/16, -449001/1048576
7/17, -609490/1419857
7/18, -805343/1889568
7/19, -1040676/2476099
7/20, -1319773/3200000
7/22, -2027235/5153632
7/23, -2465008/6436343
7/24, -2965361/7962624
7/25, -3533418/9765625
7/26, -4174471/11881376
7/27, -4893980/14348907
7/29, -6591046/20511149
7/30, -7580363/24300000
7/31, -8671656/28629151
7/32, -9871225/33554432
7/33, -11185538/39135393
7/34, -12621231/45435424
7/36, -15884141/60466176
7/37, -17725470/69343957
7/38, -19716403/79235168
7/39, -21864416/90224199
7/40, -24177153/102400000
7/41, -26662426/115856201
7/43, -32182668/147008443
7/44, -35234101/164916224
7/45, -38490998/184528125
7/46, -41962011/205962976
7/47, -45655960/229345007
7/48, -49581833/254803968
7/50, -58166143/312500000
7/51, -62843396/345025251
7/52, -67790205/380204032
7/53, -73016398/418195493
7/54, -78531971/459165024
7/55, -84347088/503284375
7/57, -96917450/601692057
7/58, -103693863/656356768
7/59, -110812156/714924299
7/60, -118283333/777600000
7/61, -126118566/844596301
7/62, -134329195/916132832
7/64, -151922841/1073741824
7/65, -161329378/1160290625
7/66, -171158351/1252332576
7/67, -181421940/1350125107
7/68, -192132493/1453933568
7/69, -203302526/1564031349
7/71, -227071936/1804229351
7/72, -239697185/1934917632
7/73, -252833658/2073071593
7/74, -266494711/2219006624
7/75, -280693868/2373046875
7/76, -295444821/2535525376
7/78, -326657723/2887174368
7/79, -343147896/3077056399
7/80, -360246313/3276800000
7/81, -377967506/3486784401
7/82, -396326175/3707398432
7/83, -415337188/3939040643
7/85, -455376558/4437053125
7/86, -476435491/4704270176
7/87, -498207920/4984209207
7/88, -520709553/5277319168
7/89, -543956266/5584059449
7/90, -567964103/5904900000
7/92, -618328165/6590815232
7/93, -644717318/6956883693
7/94, -671933451/7339040224
7/95, -699993448/7737809375
7/96, -728914361/8153726976
7/97, -758713410/8587340257
7/99, -821015636/9509900499
7/100, -853554093/10000000000
7/101, -887041246/10510100501
7/102, -921495155/11040808032
7/103, -956934048/11592740743
7/104, -993376321/12166529024
7/106, -1069345431/13382255776
7/107, -1108909900/14025517307
7/108, -1149553013/14693280768
7/109, -1191294006/15386239549
7/110, -1234152283/16105100000
7/111, -1278147416/16850581551
7/113, -1369627378/18424351793
7/114, -1417152191/19254145824
7/115, -1465893828/20113571875
7/116, -1515872701/21003416576
7/117, -1567109390/21924480357
7/118, -1619624643/22877577568
7/120, -1728574673/24883200000
7/121, -1785051786/25937424601
7/122, -1842892135/27027081632
7/123, -1902117308/28153056843
7/124, -1962749061/29316250624
7/125, -2024809318/30517578125
7/127, -2153303880/33038369407
7/128, -2219782873/34359738368
7/129, -2287779746/35723051649
7/130, -2357317263/37129300000
7/131, -2428418356/38579489651
7/132, -2501106125/40074642432
7/134, -2651334931/43204003424
7/135, -2728923008/44840334375
7/136, -2808191841/46525874176
7/137, -2889165370/48261724457
7/138, -2971867703/50049003168
7/139, -3056323116/51888844699
7/141, -3230591126/55730836701
7/142, -3320453115/57735339232
7/143, -3412166968/59797108943
7/144, -3505757801/61917364224
7/145, -3601250898/64097340625
7/146, -3698671711/66338290976
7/148, -3899399133/71008211968
7/149, -4002757486/73439775749
8/9, 1016/59049
8/11, -25224/161051
8/13, -112520/371293
8/15, -291592/759375
8/17, -596232/1419857
8/19, -1063304/2476099
8/21, -1732744/4084101
8/23, -2647560/6436343
8/25, -3853832/9765625
8/27, -5400712/14348907
8/29, -7340424/20511149
8/31, -9728264/28629151
8/33, -12622600/39135393
8/35, -16084872/52521875
8/37, -20179592/69343957
8/39, -24974344/90224199
8/41, -30539784/115856201
8/43, -36949640/147008443
8/45, -44280712/184528125
8/47, -52612872/229345007
8/49, -62029064/282475249
8/51, -72615304/345025251
8/53, -84460680/418195493
8/55, -97657352/503284375
8/57, -112300552/601692057
8/59, -128488584/714924299
8/61, -146322824/844596301
8/63, -165907720/992436543
8/65, -187350792/1160290625
8/67, -210762632/1350125107
8/69, -236256904/1564031349
8/71, -263950344/1804229351
8/73, -293962760/2073071593
8/75, -326417032/2373046875
8/77, -361439112/2706784157
8/79, -399158024/3077056399
8/81, -439705864/3486784401
8/83, -483217800/3939040643
8/85, -529832072/4437053125
8/87, -579689992/4984209207
8/89, -632935944/5584059449
8/91, -689717384/6240321451
8/93, -750184840/6956883693
8/95, -814491912/7737809375
8/97, -882795272/8587340257
8/99, -955254664/9509900499
8/101, -1032032904/10510100501
8/103, -1113295880/11592740743
8/105, -1199212552/12762815625
8/107, -1289954952/14025517307
8/109, -1385698184/15386239549
8/111, -1486620424/16850581551
8/113, -1592902920/18424351793
8/115, -1704729992/20113571875
8/117, -1822289032/21924480357
8/119, -1945770504/23863536599
8/121, -2075367944/25937424601
8/123, -2211277960/28153056843
8/125, -2353700232/30517578125
8/127, -2502837512/33038369407
8/129, -2658895624/35723051649
8/131, -2822083464/38579489651
8/133, -2992613000/41615795893
8/135, -3170699272/44840334375
8/137, -3356560392/48261724457
8/139, -3550417544/51888844699
8/141, -3752494984/55730836701
8/143, -3963020040/59797108943
8/145, -4182223112/64097340625
8/147, -4410337672/68641485507
8/149, -4647600264/73439775749
9/10, 2259/100000
9/11, -6786/161051
9/13, -75852/371293
9/14, -144945/537824
9/16, -376551/1048576
9/17, -549432/1419857
9/19, -1036890/2476099
9/20, -1363131/3200000
9/22, -2211417/5153632
9/23, -2746422/6436343
9/25, -4072176/9765625
9/26, -4877181/11881376
9/28, -6808707/17210368
9/29, -7950780/20511149
9/31, -10628046/28629151
9/32, -12180087/33554432
9/34, -15754725/45435424
9/35, -17795466/52521875
9/37, -22430772/69343957
9/38, -25044777/79235168
9/40, -30915711/102400000
9/41, -34193376/115856201
9/43, -41486562/147008443
9/44, -45524115/164916224
9/46, -54437841/205962976
9/47, -59337342/229345007
9/49, -70081560/282475249
9/50, -75950901/312500000
9/52, -88747227/380204032
9/53, -95700132/418195493
9/55, -110781846/503284375
9/56, -118937871/550731776
9/58, -136549917/656356768
9/59, -146034450/714924299
9/61, -166433436/844596301
9/62, -177377697/916132832
9/64, -200831895/1073741824
9/65, -213372936/1160290625
9/67, -240162282/1350125107
9/68, -254442987/1453933568
9/70, -284859081/1680700000
9/71, -301028166/1804229351
9/73, -335374272/2073071593
9/74, -353586285/2219006624
9/76, -392177331/2535525376
9/77, -412592652/2706784157
9/79, -455755230/3077056399
9/80, -478540071/3276800000
9/82, -526612437/3707398432
9/83, -551938842/3939040643
9/85, -605270916/4437053125
9/86, -633316761/4704270176
9/88, -692270127/5277319168
9/89, -723219120/5584059449
9/91, -788167026/6240321451
9/92, -822208707/6590815232
9/94, -893536065/7339040224
9/95, -930865806/7737809375
9/97, -1008969192/8587340257
9/98, -1049788197/9039207968
9/100, -1135075851/10000000000
9/101, -1179591156/10510100501
9/103, -1272482982/11592740743
9/104, -1320907455/12166529024
9/106, -1421835021/13382255776
9/107, -1474387362/14025517307
9/109, -1583793900/15386239549
9/110, -1640698641/16105100000
9/112, -1759039047/17623416832
9/113, -1820526552/18424351793
9/115, -1948267386/20113571875
9/116, -2014573851/21003416576
9/118, -2152193337/22877577568
9/119, -2223560790/23863536599
9/121, -2371548816/25937424601
9/122, -2448225117/27027081632
9/124, -2607083235/29316250624
9/125, -2689322076/30517578125
9/127, -2859563502/33038369407
9/128, -2947624407/34359738368
9/130, -3129774021/37129300000
9/131, -3223922346/38579489651
9/133, -3418516692/41615795893
9/134, -3519023625/43204003424
9/136, -3726610911/46525874176
9/137, -3833753472/48261724457
9/139, -4054893570/51888844699
9/140, -4168954611/53782400000
9/142, -4404219057/57735339232
9/143, -4525487262/59797108943
9/145, -4775459256/64097340625
9/146, -4904229141/66338290976
9/148, -5169503547/71008211968
9/149, -5306075460/73439775749
10/11, 4190/161051
10/13, -37410/371293
10/17, -473410/1419857
10/19, -963810/2476099
10/21, -1706210/4084101
10/23, -2758210/6436343
10/27, -6040610/14348907
10/29, -8405410/20511149
10/31, -11348610/28629151
10/33, -14947010/39135393
10/37, -24435810/69343957
10/39, -30499010/90224199
10/41, -37563010/115856201
10/43, -45723810/147008443
10/47, -65739010/229345007
10/49, -77804610/282475249
10/51, -91389410/345025251
10/53, -106608610/418195493
10/57, -142430210/601692057
10/59, -163282210/714924299
10/61, -186267810/844596301
10/63, -211521410/992436543
10/67, -269389410/1350125107
10/69, -302291810/1564031349
10/71, -338038210/1804229351
10/73, -376782210/2073071593
10/77, -463896610/2706784157
10/79, -512593410/3077056399
10/81, -564940610/3486784401
10/83, -621111010/3939040643
10/87, -745631810/4984209207
10/89, -814347010/5584059449
10/91, -887615010/6240321451
10/93, -965627810/6956883693
10/97, -1136675010/8587340257
10/99, -1230112610/9509900499
10/101, -1329101410/10510100501
10/103, -1433852610/11592740743
10/107, -1661506210/14025517307
10/109, -1784850210/15386239549
10/111, -1914839810/16850581551
10/113, -2051705410/18424351793
10/117, -2347005410/21924480357
10/119, -2505919810/23863536599
10/121, -2672670210/25937424601
10/123, -2847506210/28153056843
10/127, -3222452610/33038369407
10/129, -3423081410/35723051649
10/131, -3632832610/38579489651
10/133, -3851975010/41615795893
10/137, -4319527810/48261724457
10/139, -4568495010/51888844699
10/141, -4827967010/55730836701
10/143, -5098231810/59797108943
10/147, -5672311010/68641485507
10/149, -5976720610/73439775749
11/12, 7007/248832
11/13, -5258/371293
11/14, -42999/537824
11/15, -112684/759375
11/16, -221045/1048576
11/17, -375078/1419857
11/18, -582043/1889568
11/19, -849464/2476099
11/20, -1185129/3200000
11/21, -1597090/4084101
11/23, -2683428/6436343
11/24, -3375229/7962624
11/25, -4178174/9765625
11/26, -5101635/11881376
11/27, -6155248/14348907
11/28, -7348913/17210368
11/29, -8692794/20511149
11/30, -10197319/24300000
11/31, -11873180/28629151
11/32, -13731333/33554432
11/34, -18039659/45435424
11/35, -20513064/52521875
11/36, -23215225/60466176
11/37, -26158418/69343957
11/38, -29355183/79235168
11/39, -32818324/90224199
11/40, -36560909/102400000
11/41, -40596270/115856201
11/42, -44938003/130691232
11/43, -49599968/147008443
11/45, -59941354/184528125
11/46, -65649815/205962976
11/47, -71736588/229345007
11/48, -78216853/254803968
11/49, -85106054/282475249
11/50, -92419899/312500000
11/51, -100174360/345025251
11/52, -108385673/380204032
11/53, -117070338/418195493
11/54, -126245119/459165024
11/56, -146133405/550731776
11/57, -156881758/601692057
11/58, -168189923/656356768
11/59, -180075984/714924299
11/60, -192558289/777600000
11/61, -205655450/844596301
11/62, -219386343/916132832
11/63, -233770108/992436543
11/64, -248826149/1073741824
11/65, -264574134/1160290625
11/67, -298225928/1350125107
11/68, -316170393/1453933568
11/69, -334888114/1564031349
11/70, -354400079/1680700000
11/71, -374727540/1804229351
11/72, -395892013/1934917632
11/73, -417915278/2073071593
11/74, -440819379/2219006624
11/75, -464626624/2373046875
11/76, -489359585/2535525376
11/78, -541694263/2887174368
11/79, -569342444/3077056399
11/80, -598009269/3276800000
11/81, -627718630/3486784401
11/82, -658494683/3707398432
11/83, -690361848/3939040643
11/84, -723344809/4182119424
11/85, -757468514/4437053125
11/86, -792758175/4704270176
11/87, -829239268/4984209207
11/89, -905878974/5584059449
11/90, -946089859/5904900000
11/91, -987596720/6240321451
11/92, -1030426353/6590815232
11/93, -1074605818/6956883693
11/94, -1120162439/7339040224
11/95, -1167123804/7737809375
11/96, -1215517765/8153726976
11/97, -1265372438/8587340257
11/98, -1316716203/9039207968
11/100, -1423985849/10000000000
11/101, -1479969810/10510100501
11/102, -1537559023/11040808032
11/103, -1596783188/11592740743
11/104, -1657672269/12166529024
11/105, -1720256494/12762815625
11/106, -1784566355/13382255776
11/107, -1850632608/14025517307
11/108, -1918486273/14693280768
11/109, -1988158634/15386239549
11/111, -2133085900/16850581551
11/112, -2208404693/17623416832
11/113, -2285669958/18424351793
11/114, -2364914299/19254145824
11/115, -2446170584/20113571875
11/116, -2529471945/21003416576
11/117, -2614851778/21924480357
11/118, -2702343743/22877577568
11/119, -2791981764/23863536599
11/120, -2883800029/24883200000
11/122, -3074115363/27027081632
11/123, -3172682128/28153056843
11/124, -3273568529/29316250624
11/125, -3376810074/30517578125
11/126, -3482442535/31757969376
11/127, -3590501948/33038369407
11/128, -3701024613/34359738368
11/129, -3814047094/35723051649
11/130, -3929606219/37129300000
11/131, -4047739080/38579489651
11/133, -4291875698/41615795893
11/134, -4417954959/43204003424
11/135, -4546758964/44840334375
11/136, -4678326125/46525874176
11/137, -4812695118/48261724457
11/138, -4949904883/50049003168
11/139, -5089994624/51888844699
11/140, -5233003809/53782400000
11/141, -5378972170/55730836701
11/142, -5527939703/57735339232
11/144, -5835033589/61917364224
11/145, -5993241254/64097340625
11/146, -6154610715/66338290976
11/147, -6319183288/68641485507
11/148, -6487000553/71008211968
